estimation,actual
2963,3620
3020,3776
2999,3797
2991,3957
3030,3400
3014,3696
3004,3587
3010,3815
3042,3219
3030,3385
3021,4311
3014,4052
3007,4372
3004,4088
2999,3180
2995,3994
3007,4460
2881,3727
2878,3160
2831,3909
2846,3882
2853,4234
2856,3905
2852,4077
2857,3988
2858,4044
2858,4617
2855,3464
2855,4050
2857,3454
2854,3912
2852,3630
2851,4127
2848,3176
2855,3733
2856,3233
2873,3990
2872,3401
2871,4393
2943,4201
2941,3852
2941,4307
2942,3751
2941,4190
2940,3887
2941,4511
2945,4411
2952,3793
2954,4448
2953,4088
3002,3789
3004,3768
3009,4182
3007,4185
3006,3324
3006,3685
3006,4185
3006,3501
3006,4306
2974,4178
2973,3233
2973,3252
2972,3398
2973,3862
2973,3505
2972,4034
2908,3986
2909,3357
2907,4123
2911,4174
2910,4249
2910,3432
2908,3413
2908,3090
2863,4070
2864,3290
2865,3804
2869,3125
2868,3739
2821,4441
2823,4118
2796,3137
2795,4194
2795,3362
2798,4290
2798,3542
2797,3861
2796,3276
2796,3171
2795,4114
2807,3907
2808,3417
2808,3266
2806,4970
2806,3356
2806,3602
2806,3932
2808,4070
2894,3835
2876,4176
2875,4072
2876,3987
2885,3839
2885,3087
2885,4545
2884,3438
2883,4141
2862,3830
2862,3666
2861,4125
2861,3922
2863,4303
2863,4055
2862,3383
2918,4161
2917,4069
2917,3852
2920,4023
2922,5185
3206,5233
3207,4214
3206,4912
3208,4566
3206,5284
3206,4698
3207,4043
3210,5090
3207,4843
3209,4126
3209,4535
3108,4668
3109,3979
3107,4642
3106,3833
3106,4251
3106,4399
3106,4551
3105,4998
3105,4948
2981,4641
2992,4529
2993,4954
3162,5064
3163,5061
3160,3935
3161,4849
3159,4667
3400,5027
3401,4697
3415,5098
3416,4359
3415,4780
3414,4504
3415,5164
3413,4048
3413,4589
3413,4628
3412,4040
3411,4970
3602,4569
3601,4517
3602,4959
3406,5006
3407,3812
3406,4024
3407,4132
3404,4836
3404,4888
3404,4832
3407,4900
3406,4644
3406,4590
3404,4401
3406,4265
3407,4202
3407,3816
3407,4505
3368,4695
3370,4274
3304,4636
3382,4076
3397,5109
3396,4209
3398,3833
3396,3656
3398,4692
3396,4019
3396,4146
3397,4846
3396,4592
3395,4694
3395,4683
3396,4931
3395,4502
3393,3964
3395,4346
3395,4587
3396,4516
3380,4002
3407,4531
3408,4666
3406,4277
3405,4070
3405,4811
3405,5076
3408,4684
3407,4573
3407,4743
3411,5659
3410,4925
3409,4781
3409,4384
3509,5878
3508,4531
3509,4658
3508,4292
3511,3661
3511,4236
3512,4093
3524,4232
3524,4697
3525,5010
3524,4600
3526,4895
3524,4577
3524,3720
3524,4412
3474,3686
3476,3662
3475,3907
3475,3436
3315,3776
3314,3853
3315,3759
3314,4238
3314,4381
3313,4140
3314,3181
3314,3829
2889,3143
2888,3718
2888,3937
2889,3833
2889,3569
2888,4377
2887,3785
2888,3495
3054,4199
3055,4368
3054,3160
2827,4101
2826,3147
2827,3157
2827,3915
2825,3478
2825,3463
2825,3806
2826,3691
2826,4359
2810,3403
2810,4046
2811,3427
2811,3110
2828,4164
2831,4700
2832,4082
2831,3383
2831,4061
2833,3861
2831,3342
2832,3908
2832,3577
2832,3507
2830,4398
2831,3936
2831,3518
2833,3655
2832,4096
2828,4119
2979,3816
2979,3478
2979,4070
2981,3698
2981,3516
3010,4125
3008,4119
3007,4161
3008,3828
3008,4118
3007,3069
3007,4127
3007,3684
3008,4169
3006,3645
3009,4439
2999,3008
2998,4227
2996,3084
2996,3864
2961,3604
2961,4229
2960,3252
2959,4038
2960,3504
2960,4253
2960,3491
2960,3873
2961,3798
2961,3897
2960,4234
2959,3124
2960,3799
2959,3802
2895,4626
2893,3122
2893,3718
2895,4094
2895,4147
2894,4201
2934,3475
2925,3644
2924,4096
2926,3933
2927,3647
2926,3964
2927,3589
2927,3698
2927,3174
2927,3866
2918,3569
2917,3216
2917,3915
2917,4401
2915,3714
2916,3142
2916,3387
2916,4100
2916,3470
2916,3897
2889,4152
2890,3099
2889,3877
2889,4119
2889,3929
2888,3526
2960,4266
2961,4184
2960,3636
2961,4119
2963,4031
2960,4112
2963,3814
2962,4429
2961,3792
2962,3821
2962,3893
2954,4065
2954,3174
2953,3985
2946,3750
2945,4243
2941,3844
2940,3816
2943,4412
2943,4435
2942,4136
2941,4174
2943,3991
2942,3830
2944,4070
2944,3836
2944,3382
2944,4199
2945,3826
2779,3895
2779,3146
2778,3135
2779,3785
2778,3703
2790,4050
2789,3430
2789,3156
2790,3949
2791,3992
2791,3851
2792,4098
2791,3711
2791,4038
2792,3633
2880,3739
2881,3798
2881,3604
2880,3660
2879,3864
2879,3867
2863,3382
2862,3747
2862,4238
2861,3263
2827,3316
